text,label,source
"Hi, I want information. Please.",ambiguous,Concierge curated router examples
"Hello, I want to register for the service. Can you help?",sales_or_contact,Concierge curated router examples
"Please, I would like to sign up. Please.",sales_or_contact,Concierge curated router examples
Quick question: Can you send me the subscription options? Can you help?,sales_or_contact,Concierge curated router examples
This is confusing. Can you help?,ambiguous,Concierge curated router examples
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,UCI SMS Spam Collection
"Hi, I want to order this product. Can you help?",sales_or_contact,Concierge curated router examples
"Hello, How do I reset my password? I appreciate it.",faq,Concierge curated router examples
I need a manager. Please.,human_request,Concierge curated router examples
"Please, Can I speak with sales? Thanks.",sales_or_contact,Concierge curated router examples
Quick question: Something is wrong. Please.,ambiguous,Concierge curated router examples
"Please, Maybe later.",ambiguous,Concierge curated router examples
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam,UCI SMS Spam Collection
"Hi, Please connect me with an agent. Please.",human_request,Concierge curated router examples
"Hi, What are the membership options?",faq,Concierge curated router examples
"Hi, What are the membership options? Can you help?",faq,Concierge curated router examples
"Hello, Can I change my appointment time? Can you help?",faq,Concierge curated router examples
"Hi, How do I reset my password? Please.",faq,Concierge curated router examples
Quick question: Can you send me the subscription options? Please.,sales_or_contact,Concierge curated router examples
"Hello, Can I speak to a real person? Please.",human_request,Concierge curated router examples
I need a sales representative to contact me. I appreciate it.,sales_or_contact,Concierge curated router examples
"Please, I am interested in buying your service. I appreciate it.",sales_or_contact,Concierge curated router examples
"Hello, I am looking for a package for my company. I appreciate it.",sales_or_contact,Concierge curated router examples
Quick question: I do not want the chatbot. Thanks.,human_request,Concierge curated router examples
WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,UCI SMS Spam Collection
How much does the service cost? I appreciate it.,faq,Concierge curated router examples
I want to start today. Thanks.,sales_or_contact,Concierge curated router examples
Quick question: I want to talk to a human. Please.,human_request,Concierge curated router examples
Quick question: I want information. Please.,ambiguous,Concierge curated router examples
Where can I find your contact information? Thanks.,faq,Concierge curated router examples
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,spam,UCI SMS Spam Collection
"Hello, Transfer me to a representative. I appreciate it.",human_request,Concierge curated router examples
"Hello, I need something.",ambiguous,Concierge curated router examples
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,spam,UCI SMS Spam Collection
"Hello, I would like to sign up. Can you help?",sales_or_contact,Concierge curated router examples
"Hello, How does the booking process work? Thanks.",faq,Concierge curated router examples
"Hello, Do you provide support after purchase? Please.",faq,Concierge curated router examples
Quick question: Can you help me with this? Thanks.,ambiguous,Concierge curated router examples
"Hi, Can you send me the subscription options? I appreciate it.",sales_or_contact,Concierge curated router examples
Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,spam,UCI SMS Spam Collection
Quick question: This bot is not helping me. I appreciate it.,human_request,Concierge curated router examples
Quick question: Can someone from your team help me?,human_request,Concierge curated router examples
Something is wrong. Please.,ambiguous,Concierge curated router examples
"Hi, Can I see your menu? Thanks.",faq,Concierge curated router examples
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",spam,UCI SMS Spam Collection
Quick question: This is confusing. Can you help?,ambiguous,Concierge curated router examples
Can I change my appointment time? Thanks.,faq,Concierge curated router examples
Quick question: Can someone call me about pricing? Please.,sales_or_contact,Concierge curated router examples
Hello. Thanks.,ambiguous,Concierge curated router examples
"Hi, How does the booking process work?",faq,Concierge curated router examples
"Please, Please contact me for a quote.",sales_or_contact,Concierge curated router examples
"Hello, Hello. Please.",ambiguous,Concierge curated router examples
Quick question: I need something. Please.,ambiguous,Concierge curated router examples
"Hi, Can I get a custom plan? Please.",sales_or_contact,Concierge curated router examples
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,UCI SMS Spam Collection
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam,UCI SMS Spam Collection
"Hello, Please escalate this to a person. Can you help?",human_request,Concierge curated router examples
"Hello, I want to talk to a human. Thanks.",human_request,Concierge curated router examples
Quick question: I have a question. Please.,ambiguous,Concierge curated router examples
I am ready to purchase.,sales_or_contact,Concierge curated router examples
"Hi, Can I get a custom plan? I appreciate it.",sales_or_contact,Concierge curated router examples
"Hi, Can someone from your team help me? Can you help?",human_request,Concierge curated router examples
Maybe later.,ambiguous,Concierge curated router examples
"Hello, How do I reset my password? Can you help?",faq,Concierge curated router examples
"Hello, Can I see your menu?",faq,Concierge curated router examples
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,spam,UCI SMS Spam Collection
"Hello, I want to order this product. Can you help?",sales_or_contact,Concierge curated router examples
Where are you located?,faq,Concierge curated router examples
Quick question: I am not sure. Can you help?,ambiguous,Concierge curated router examples
"Hello, I want to schedule a consultation.",sales_or_contact,Concierge curated router examples
Please help me make a booking.,sales_or_contact,Concierge curated router examples
Can I see your menu? Can you help?,faq,Concierge curated router examples
Can I speak with sales? Please.,sales_or_contact,Concierge curated router examples
"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",spam,UCI SMS Spam Collection
Please open a support ticket.,human_request,Concierge curated router examples
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam,UCI SMS Spam Collection
"Please, Give me a human agent. Thanks.",human_request,Concierge curated router examples
I need help with my account and maybe booking too. Can you help?,ambiguous,Concierge curated router examples
"Hello, I want to book an appointment. Thanks.",sales_or_contact,Concierge curated router examples
Quick question: Transfer me to a representative. Thanks.,human_request,Concierge curated router examples
"Hi, I would like to sign up. Can you help?",sales_or_contact,Concierge curated router examples
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam,UCI SMS Spam Collection
"Hi, I am looking for a package for my company. Can you help?",sales_or_contact,Concierge curated router examples
"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",spam,UCI SMS Spam Collection
"Hi, I want to talk to support. Please.",human_request,Concierge curated router examples
I am not sure. Please.,ambiguous,Concierge curated router examples
"Hi, Maybe later. I appreciate it.",ambiguous,Concierge curated router examples
Quick question: I am looking for a package for my company. I appreciate it.,sales_or_contact,Concierge curated router examples
As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,spam,UCI SMS Spam Collection
Quick question: Can you explain your return policy? Can you help?,faq,Concierge curated router examples
Quick question: Can your team follow up? I appreciate it.,human_request,Concierge curated router examples
"Please, Connect me with someone now. Please.",human_request,Concierge curated router examples
Quick question: This is confusing. Thanks.,ambiguous,Concierge curated router examples
Can your team follow up?,human_request,Concierge curated router examples
Quick question: I am not sure. Thanks.,ambiguous,Concierge curated router examples
"Please, Maybe later. I appreciate it.",ambiguous,Concierge curated router examples
thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,spam,UCI SMS Spam Collection
"Please, Can I get a custom plan? Please.",sales_or_contact,Concierge curated router examples
"Hi, Can I speak with sales?",sales_or_contact,Concierge curated router examples
"Hello, What are your opening hours?",faq,Concierge curated router examples
"Please, How much does the service cost? Please.",faq,Concierge curated router examples
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,spam,UCI SMS Spam Collection
"Hi, Where are you located? Please.",faq,Concierge curated router examples
T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,spam,UCI SMS Spam Collection
Quick question: Can you explain your return policy?,faq,Concierge curated router examples
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam,UCI SMS Spam Collection
Can I change my appointment time?,faq,Concierge curated router examples
Hi there. Please.,ambiguous,Concierge curated router examples
Please connect me with an agent. I appreciate it.,human_request,Concierge curated router examples
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,spam,UCI SMS Spam Collection
"Hi, Hello. Can you help?",ambiguous,Concierge curated router examples
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam,UCI SMS Spam Collection
"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam,UCI SMS Spam Collection
Please connect me with an agent. Please.,human_request,Concierge curated router examples
Quick question: I need something. Thanks.,ambiguous,Concierge curated router examples
"Hi, What documents do I need? Please.",faq,Concierge curated router examples
"Hello, Can I get a custom plan?",sales_or_contact,Concierge curated router examples
Quick question: Can someone from your team help me? Can you help?,human_request,Concierge curated router examples
Quick question: Can I speak to a real person? Please.,human_request,Concierge curated router examples
Where are you located? Thanks.,faq,Concierge curated router examples
"Hi, How much does the service cost?",faq,Concierge curated router examples
Quick question: What services do you provide? Thanks.,faq,Concierge curated router examples
I need human support. I appreciate it.,human_request,Concierge curated router examples
"Hello, What areas do you serve? Please.",faq,Concierge curated router examples
I want to request a demo. I appreciate it.,sales_or_contact,Concierge curated router examples
"Hi, I need help with my account and maybe booking too. Please.",ambiguous,Concierge curated router examples
"Hello, Can I get a custom plan? I appreciate it.",sales_or_contact,Concierge curated router examples
"Hi, How can I become a customer? I appreciate it.",sales_or_contact,Concierge curated router examples
Can I change my appointment time? Please.,faq,Concierge curated router examples
What documents do I need?,faq,Concierge curated router examples
What is included in the package?,faq,Concierge curated router examples
"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",spam,UCI SMS Spam Collection
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,spam,UCI SMS Spam Collection
What is included in the package? I appreciate it.,faq,Concierge curated router examples
Please escalate this to a person.,human_request,Concierge curated router examples
"Hi, Can you handle a few things for me? Can you help?",ambiguous,Concierge curated router examples
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,UCI SMS Spam Collection
"Hi, How can I become a customer? Please.",sales_or_contact,Concierge curated router examples
Quick question: Can you help me with this?,ambiguous,Concierge curated router examples
Quick question: Can I speak with sales? Can you help?,sales_or_contact,Concierge curated router examples
Quick question: Please escalate this to a person. Thanks.,human_request,Concierge curated router examples
"Hello, I need human support.",human_request,Concierge curated router examples
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam,UCI SMS Spam Collection
"Hello, Can a staff member reply?",human_request,Concierge curated router examples
Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,spam,UCI SMS Spam Collection
Please contact me for a quote. I appreciate it.,sales_or_contact,Concierge curated router examples
Quick question: What now? Can you help?,ambiguous,Concierge curated router examples
Quick question: How long does shipping take? Can you help?,faq,Concierge curated router examples
Quick question: What are your opening hours? I appreciate it.,faq,Concierge curated router examples
"Hello, Can you handle a few things for me? Can you help?",ambiguous,Concierge curated router examples
Quick question: Something is wrong. Can you help?,ambiguous,Concierge curated router examples
Quick question: Can a staff member reply? I appreciate it.,human_request,Concierge curated router examples
Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,spam,UCI SMS Spam Collection
"Hi, Can I reserve a spot for tomorrow?",sales_or_contact,Concierge curated router examples
"Hello, Can your team follow up?",human_request,Concierge curated router examples
I have a question. I appreciate it.,ambiguous,Concierge curated router examples
"Please, Hi there. Thanks.",ambiguous,Concierge curated router examples
I need a sales representative to contact me. Please.,sales_or_contact,Concierge curated router examples
"Hi, What areas do you serve? Please.",faq,Concierge curated router examples
"Hi, I want to schedule a consultation. Please.",sales_or_contact,Concierge curated router examples
"Hello, I have a problem. Can you help?",ambiguous,Concierge curated router examples
What are the membership options? Can you help?,faq,Concierge curated router examples
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,spam,UCI SMS Spam Collection
"Hello, I want to talk to support. I appreciate it.",human_request,Concierge curated router examples
"Hello, I am looking for a package for my company.",sales_or_contact,Concierge curated router examples
U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,spam,UCI SMS Spam Collection
85233 FREE>Ringtone!Reply REAL,spam,UCI SMS Spam Collection
Quick question: I want to talk to support. Can you help?,human_request,Concierge curated router examples
Do you accept credit cards?,faq,Concierge curated router examples
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,UCI SMS Spam Collection
"Please, How do I reset my password? Please.",faq,Concierge curated router examples
Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,spam,UCI SMS Spam Collection
"Hi, Where can I find your contact information?",faq,Concierge curated router examples
UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,spam,UCI SMS Spam Collection
"Please, I need something. Thanks.",ambiguous,Concierge curated router examples
What documents do I need? Can you help?,faq,Concierge curated router examples
"Hi, Can you check this? Please.",ambiguous,Concierge curated router examples
"Please, Can I get a custom plan? Can you help?",sales_or_contact,Concierge curated router examples
Quick question: Hello. Thanks.,ambiguous,Concierge curated router examples
"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",spam,UCI SMS Spam Collection
"Hello, Please open a support ticket. I appreciate it.",human_request,Concierge curated router examples
Quick question: I would like to sign up. Can you help?,sales_or_contact,Concierge curated router examples
Quick question: Hello. I appreciate it.,ambiguous,Concierge curated router examples
3. You have received your mobile content. Enjoy,spam,UCI SMS Spam Collection
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,spam,UCI SMS Spam Collection
"Please, Can you explain your return policy? Please.",faq,Concierge curated router examples
Quick question: I need human support. Please.,human_request,Concierge curated router examples
I need human support. Can you help?,human_request,Concierge curated router examples
"Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p",spam,UCI SMS Spam Collection
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,spam,UCI SMS Spam Collection
"Hi, Can you send me the subscription options?",sales_or_contact,Concierge curated router examples
"Hello, I need a manager. Thanks.",human_request,Concierge curated router examples
Please take my number and call me back.,sales_or_contact,Concierge curated router examples
"Hi, I have multiple questions. Thanks.",ambiguous,Concierge curated router examples
"Hi, Can your team follow up?",human_request,Concierge curated router examples
"Hello, Do you have weekend appointments?",faq,Concierge curated router examples
Quick question: Please take my number and call me back. Please.,sales_or_contact,Concierge curated router examples
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam,UCI SMS Spam Collection
Quick question: What documents do I need? Please.,faq,Concierge curated router examples
Can someone from your team help me? Thanks.,human_request,Concierge curated router examples
Can I reserve a spot for tomorrow? Thanks.,sales_or_contact,Concierge curated router examples
"Please, I need an employee to handle this. I appreciate it.",human_request,Concierge curated router examples
Please help me make a booking. Can you help?,sales_or_contact,Concierge curated router examples
"Please, I have a question.",ambiguous,Concierge curated router examples
Connect me with someone now. Please.,human_request,Concierge curated router examples
"Hello, I want to schedule a consultation. I appreciate it.",sales_or_contact,Concierge curated router examples
Quick question: Hello. Can you help?,ambiguous,Concierge curated router examples
"Please, I want to talk to support.",human_request,Concierge curated router examples
Do you offer delivery? Can you help?,faq,Concierge curated router examples
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,spam,UCI SMS Spam Collection
Can you explain your return policy? Please.,faq,Concierge curated router examples
I want to start today.,sales_or_contact,Concierge curated router examples
Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,spam,UCI SMS Spam Collection
Please contact me for a quote.,sales_or_contact,Concierge curated router examples
"Hello, I want to register for the service.",sales_or_contact,Concierge curated router examples
"Hi, I need live support. Can you help?",human_request,Concierge curated router examples
"Hi, I would like to sign up. I appreciate it.",sales_or_contact,Concierge curated router examples
"Hello, I need live support. Thanks.",human_request,Concierge curated router examples
Quick question: Escalate my issue. Can you help?,human_request,Concierge curated router examples
"Please, I am looking for a package for my company. Thanks.",sales_or_contact,Concierge curated router examples
"Please, Can I get a custom plan? Thanks.",sales_or_contact,Concierge curated router examples
"Please, Can you check this? Can you help?",ambiguous,Concierge curated router examples
"Hello, Can I see your menu? Thanks.",faq,Concierge curated router examples
I am not sure. Thanks.,ambiguous,Concierge curated router examples
"Hello, Please escalate this to a person. Thanks.",human_request,Concierge curated router examples
Quick question: Can I see your menu? Can you help?,faq,Concierge curated router examples
"Hello, Connect me with someone now.",human_request,Concierge curated router examples
"Hello, Do you have weekend appointments? Can you help?",faq,Concierge curated router examples
"Hello, Is parking available? I appreciate it.",faq,Concierge curated router examples
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,UCI SMS Spam Collection
"Please, This is confusing. Please.",ambiguous,Concierge curated router examples
"Hi, Where are you located? Thanks.",faq,Concierge curated router examples
Win a £1000 cash prize or a prize worth £5000,spam,UCI SMS Spam Collection
Quick question: This bot is not helping me. Can you help?,human_request,Concierge curated router examples
"Hi, I need an employee to handle this. Thanks.",human_request,Concierge curated router examples
Quick question: Can someone call me about pricing?,sales_or_contact,Concierge curated router examples
Quick question: How much does the service cost? Can you help?,faq,Concierge curated router examples
"Hello, What services do you provide?",faq,Concierge curated router examples
Quick question: Can you check this? Can you help?,ambiguous,Concierge curated router examples
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,UCI SMS Spam Collection
"Hi, Can I change my appointment time? Can you help?",faq,Concierge curated router examples
"Hello, Please help me make a booking. Can you help?",sales_or_contact,Concierge curated router examples
"Hi, I want to talk to support. Can you help?",human_request,Concierge curated router examples
"Please, What is included in the package?",faq,Concierge curated router examples
"Hi, Can I get a custom plan?",sales_or_contact,Concierge curated router examples
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam,UCI SMS Spam Collection
"Hi, I want to talk to a human. I appreciate it.",human_request,Concierge curated router examples
You have 1 new message. Call 0207-083-6089,spam,UCI SMS Spam Collection
"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",spam,UCI SMS Spam Collection
Where can I find your contact information? Can you help?,faq,Concierge curated router examples
"Hello, I am interested in buying your service.",sales_or_contact,Concierge curated router examples
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,UCI SMS Spam Collection
Quick question: What documents do I need?,faq,Concierge curated router examples
"Please, I want to book an appointment. I appreciate it.",sales_or_contact,Concierge curated router examples
I want to talk to a human. Please.,human_request,Concierge curated router examples
"Please, I want to start today.",sales_or_contact,Concierge curated router examples
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,UCI SMS Spam Collection
I want information.,ambiguous,Concierge curated router examples
"Hello, Hello. I appreciate it.",ambiguous,Concierge curated router examples
"Please, Can I reserve a spot for tomorrow?",sales_or_contact,Concierge curated router examples
"Hello, How does the booking process work? Please.",faq,Concierge curated router examples
"Hi, I need help with my account and maybe booking too.",ambiguous,Concierge curated router examples
"Please, Can your team follow up? Please.",human_request,Concierge curated router examples
Transfer me to a representative. Can you help?,human_request,Concierge curated router examples
"Hi, I want to register for the service. Thanks.",sales_or_contact,Concierge curated router examples
Quick question: Can I speak to a real person? Can you help?,human_request,Concierge curated router examples
"Please, Can you explain your return policy? I appreciate it.",faq,Concierge curated router examples
"Hello, I want to book an appointment.",sales_or_contact,Concierge curated router examples
"Hello, Can I speak to a real person? Thanks.",human_request,Concierge curated router examples
"Hi, Please take my number and call me back. Please.",sales_or_contact,Concierge curated router examples
"Hello, What are the membership options? Can you help?",faq,Concierge curated router examples
Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,spam,UCI SMS Spam Collection
"Hello, Not sure what I need. Please.",ambiguous,Concierge curated router examples
"Please, I have a problem. Thanks.",ambiguous,Concierge curated router examples
"Hello, Do you accept credit cards? I appreciate it.",faq,Concierge curated router examples
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,UCI SMS Spam Collection
"Please, Transfer me to a representative. I appreciate it.",human_request,Concierge curated router examples
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam,UCI SMS Spam Collection
"Please, Connect me with someone now.",human_request,Concierge curated router examples
