text,label,source,original_label
i try to track purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
tell me about the earthquake in california that happened this morning,ambiguous,CLINC OOS Dataset (test),oos
I need assistance to talk to customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam,UCI SMS Spam Collection,spam
I want assistance to talk with an assistant,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I need to cancel purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=cancel_order
wanna know about canceling the newsletter subscription,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
what is saas marketing,ambiguous,CLINC OOS Dataset (train),oos
I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),spam,UCI SMS Spam Collection,spam
could ya help me cancel the {{Account Category}} account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
"how many people have held the role of county attorney bearing the family name ""dixon""",ambiguous,CLINC OOS Dataset (test),oos
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.,spam,UCI SMS Spam Collection,spam
can you send me my bills from {{Person Name}}?,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=get_invoice
"URGENT! Your mobile number *************** WON a Â£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",spam,UCI SMS Spam Collection,spam
Adult 18 Content Your video will be with you shortly,spam,UCI SMS Spam Collection,spam
i dont know what i need to do to speak with a live agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
what do I need to do to speak with an operator?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
assistance seeing in which cases can I request my money back,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
You are a winner you have been specially selected to receive Â£1000 cash or a Â£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,spam,UCI SMS Spam Collection,spam
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",spam,UCI SMS Spam Collection,spam
Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,spam,UCI SMS Spam Collection,spam
find my invoices from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,spam,UCI SMS Spam Collection,spam
help me canceling purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=cancel_order
is it too late to wear white,ambiguous,CLINC OOS Dataset (test),oos
what is a well reviewed book for a teenage girl to read,ambiguous,CLINC OOS Dataset (test),oos
what is the purpose or benefit of a cash advance,ambiguous,CLINC OOS Dataset (validation),oos
how many calories does jumping up and down burn,ambiguous,CLINC OOS Dataset (test),oos
how are my sports teams doing,ambiguous,CLINC OOS Dataset (train),oos
i dont know how i can get refunds,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
I want help to modify purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
which sport is the most fun,ambiguous,CLINC OOS Dataset (train),oos
88800 and 89034 are premium phone services call 08718711108,spam,UCI SMS Spam Collection,spam
i do not know what to do to purchase several of ur product,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
need assistance to speak with somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
find a good toy to give a 5 year old boy that costs less than $40,ambiguous,CLINC OOS Dataset (test),oos
I don't know what to do to speak with customer assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
i want assistance obtaining a compensation of money,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
could i list ur accepted payment options,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
what's the order of the circle of fifths,ambiguous,CLINC OOS Dataset (train),oos
I do not know how I can chat with an agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I watn help purchasing a product,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
why can't you divide by zero,ambiguous,CLINC OOS Dataset (train),oos
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,spam,UCI SMS Spam Collection,spam
is it possible to change order {{Order Number}}?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
I want to see the accepted payment methods,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
how to see at what time I can contact customer service?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or Â£10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",spam,UCI SMS Spam Collection,spam
how to check the current status of order {{Order Number}}?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
need help seeing your available payment option,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)",spam,UCI SMS Spam Collection,spam
"FREE RING TONE just text ""POLYS"" to 87131. Then every week get a new tone. 0870737910216yrs only Â£1.50/wk.",spam,UCI SMS Spam Collection,spam
help me contact customer assistance,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
I don't know how to speak with a humnan agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
who invented the internet,ambiguous,CLINC OOS Dataset (test),oos
could you help me receiving the corporate newsletter?,sales_or_contact,Bitext Customer Support Intent Dataset,category=SUBSCRIPTION; intent=newsletter_subscription
"I want to speak with customer service, helpme",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
is anything being newscasted about the threat of famine in chadu,ambiguous,CLINC OOS Dataset (test),oos
I have to add an item to purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
problems submitting a delivery address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
I don't know what I need to do to earn some bloody products,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
what's the runtime of all the lord of the rings movies combined,ambiguous,CLINC OOS Dataset (train),oos
assistance checking your accepted payment modalities,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
do laundry,ambiguous,CLINC OOS Dataset (test),oos
tell me what the longest tributary is in venezuela,ambiguous,CLINC OOS Dataset (test),oos
look up the average temperature changes over the last 30 years for my area,ambiguous,CLINC OOS Dataset (test),oos
I want assistance entering the new delivery address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
I want assistance seaking with someone,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
sign me up for the writing class you told me about 2 days ago,ambiguous,CLINC OOS Dataset (test),oos
need help leaving an opinion for a product,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=review
where to see what hours I can contact customer support?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,UCI SMS Spam Collection,spam
i need assistance seeing ur allowed payment options,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",spam,UCI SMS Spam Collection,spam
has there been anything breaking this afternoon,ambiguous,CLINC OOS Dataset (test),oos
have a question about forgotten pwd,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
what's the more secure bank vault,ambiguous,CLINC OOS Dataset (test),oos
put words on the paper about what you want,ambiguous,CLINC OOS Dataset (test),oos
how many prime numbers are there between 0 and 100,ambiguous,CLINC OOS Dataset (test),oos
Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,spam,UCI SMS Spam Collection,spam
You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam,UCI SMS Spam Collection,spam
Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.,spam,UCI SMS Spam Collection,spam
creating gold account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=create_account
canceling platinum account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=delete_account
is it possible to giev a quick look at the bill #37777?,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
I can't swap some items of purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
I want to talk with an assistant,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
i try to set up a shipping address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
i dont know what i have to do to talk with customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
how many kilowatts have i used this month,ambiguous,CLINC OOS Dataset (test),oos
PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,spam,UCI SMS Spam Collection,spam
want help to contact an agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",spam,UCI SMS Spam Collection,spam
i need help speaking to somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
can i mix antifreeze with water,ambiguous,CLINC OOS Dataset (validation),oos
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,spam,UCI SMS Spam Collection,spam
I want assistance to see your allowed payment modalties,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,UCI SMS Spam Collection,spam
can I speak with somebody?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",spam,UCI SMS Spam Collection,spam
how do I talk to somebody?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
how many voicemails are currently in my inbox,ambiguous,CLINC OOS Dataset (test),oos
can you help me check the cancellation charges?,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
where to check your payment modalities?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
do you have a mail to get in touch with customer assistance?,faq,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
I need help to see what hours customer service available is,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
I try to file a claim,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
i want help speaking to customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"I have lost bill #00108, can you show it to me?",sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
I have troubles editing the address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
can ya tell me more about changing the address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
I'd like to edit the data included on my user i need help,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
"Congratulations! Thanks to a good friend U have WON the Â£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",spam,UCI SMS Spam Collection,spam
what time do i have to go to work today,ambiguous,CLINC OOS Dataset (test),oos
i do not kniw what i need to do to speak with a human agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I am trying to see your allowed payment methods,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
i need to update my address,ambiguous,CLINC OOS Dataset (test),oos
"I need to order a product, how do I do it?",sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
speak with human agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I would like to see what hours I can call customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
wanna add some products to order {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
which nations are not democratic,ambiguous,CLINC OOS Dataset (validation),oos
I need help to speak with a live agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
change out the older photos with the newer ones,ambiguous,CLINC OOS Dataset (test),oos
I want help checking how soon can I expect the delivery,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
WINNER! As a valued network customer you hvae been selected to receive a Â£900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,spam,UCI SMS Spam Collection,spam
i have got to call customer service i need help,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"I need to talk to customer support, how do I do it?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
find my bill #85632,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
where did mandarin originate from,ambiguous,CLINC OOS Dataset (test),oos
how can i talk with a person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
how can i get information about the options for delivery,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
find articles about the protests in parisi,ambiguous,CLINC OOS Dataset (test),oos
how can i speak to anoperator,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I need help checking the payment options,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
look up articles on car washing at home,ambiguous,CLINC OOS Dataset (test),oos
what is my current signal strength,ambiguous,CLINC OOS Dataset (test),oos
checking current status of purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
I try to check at what time I can reach customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what is popular in fashion right now,ambiguous,CLINC OOS Dataset (test),oos
need help setting another shipping address up,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
help seeing in which situations can I request my money back,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
need assistance speaking to a human agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
help me notify of issues with online payments,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
i want assistance to see the options for shipment,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
I do not know what I have to do to talk to customer suppory,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
show me a cool nintendo switch game,ambiguous,CLINC OOS Dataset (test),oos
how many ppm of particulate is in my local water,ambiguous,CLINC OOS Dataset (test),oos
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,UCI SMS Spam Collection,spam
assistance to see purchase {{Order Number}} status,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!,spam,UCI SMS Spam Collection,spam
what years has korea been at war,ambiguous,CLINC OOS Dataset (train),oos
is the earth flat,ambiguous,CLINC OOS Dataset (test),oos
need to modify my delivery addrexs how do i do it,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
how many pokemon have i caught in my pokemon go app,ambiguous,CLINC OOS Dataset (test),oos
can you clock me in,ambiguous,CLINC OOS Dataset (train),oos
I'd like to update the fucking data on my user profile,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=edit_account
what do I need to do to open a {{Account Type}} account?,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=create_account
where do I open a {{Account Type}} account?,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=create_account
wznt help to switch to the bloody freemium account,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=switch_account
sumbitting new shipping address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
I can't see order {{Order Number}} status,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
help to lodge a customer claim against your business,faq,Bitext Customer Support Intent Dataset,category=FEEDBACK; intent=complaint
look up how to apply cream to smooth itchiness,ambiguous,CLINC OOS Dataset (test),oos
"I have to locate order {{Order Number}}, could I get some help?",sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
how the birds fly,ambiguous,CLINC OOS Dataset (validation),oos
transfering to person,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
where do I retrieve my user access key?,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,UCI SMS Spam Collection,spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. Â£1.50 SP:Tyrone,spam,UCI SMS Spam Collection,spam
the birds fly with there wings,ambiguous,CLINC OOS Dataset (validation),oos
I'm trying to see the current status of order {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
does my carrier have coverage in europe,ambiguous,CLINC OOS Dataset (test),oos
uhave a mail address to get in touch with customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
want assistance recovering my account PIN code,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
help talking with a live agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
where can I check the withdrawal charge?,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
I want help to contact an assistant,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
I need help to talk to custmoer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
how do the anti-lock brakes work,ambiguous,CLINC OOS Dataset (train),oos
I want to see what payment options you accept,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
what is the largest state in the us,ambiguous,CLINC OOS Dataset (train),oos
help me get a refund of my moneyu,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=get_refund
where to edit my shipping address?,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
I need assistance checkng the early exit penalties,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
I want help talking with an assistant,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
how many star wars movies are there,ambiguous,CLINC OOS Dataset (test),oos
what is the most famous quote on the internet,ambiguous,CLINC OOS Dataset (test),oos
"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",spam,UCI SMS Spam Collection,spam
i dont know what to do to call customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
can i add some products to purchase {{Order Number}},sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=change_order
"I have to talk to customer support, can I get some help?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
help talking to somebody,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want help to see the withdrawal charges,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
how do you know if a mushroom is edible,ambiguous,CLINC OOS Dataset (train),oos
"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",spam,UCI SMS Spam Collection,spam
search information on how to apply foundation,ambiguous,CLINC OOS Dataset (test),oos
how many years do you need to be in the army to get a college tuition,ambiguous,CLINC OOS Dataset (test),oos
You have 1 new message. Please call 08715205273,spam,UCI SMS Spam Collection,spam
WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam,UCI SMS Spam Collection,spam
can you help me check your allowed payment modalities?,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=check_payment_methods
what's a good stretch to do to limber up,ambiguous,CLINC OOS Dataset (test),oos
